,fit_KD,fit_KD_std,true_KD
0,5.17947467923e-09,0.0,5.1152139317e-09
1,2.68269579528e-10,0.0,3.14139506583e-10
2,1.80776867696e-10,0.0,1.78938290253e-10
3,7.6862461004e-06,0.0,5.04632430257e-06
4,4.54090961097e-05,0.0,1.35012553385e-05
5,1.21818791201e-07,0.0,1.14305116028e-07
6,9.36329208824e-09,0.0,9.17023671509e-09
7,6.3095734448e-09,0.0,6.5400371394e-09
8,1.14062492385e-08,0.0,1.24140853846e-08
9,3.49025487896e-06,0.0,2.62081346344e-06
10,4.25178630338e-09,0.0,4.98716326223e-09
11,3.98107170553e-07,0.0,4.01267534566e-07
12,2.51188643151e-05,8.36407915037e-37,1.12181147596e-05
13,0.0001,0.0,7.2050027822e-05
14,1.38949549437e-08,0.0,1.51339188861e-08
15,1.21818791201e-10,0.0,1.19506927921e-10
16,1.21818791201e-10,0.0,1.36897894271e-10
17,2.0619860095e-05,0.0,1.03610260258e-05
18,1.38949549437e-08,0.0,1.57707128141e-08
19,3.26802758941e-07,0.0,2.69978920094e-07
20,2.20220194999e-07,2.87915468301e-98,2.17127950632e-07
21,3.49025487896e-06,0.0,2.95225585052e-06
22,1.38949549437e-08,0.0,1.51146773263e-08
23,1.80776867696e-07,0.0,1.48400102289e-07
24,9.36329208824e-09,0.0,9.96380519817e-09
25,0.0001,0.0,8.23568321815e-05
26,7.6862461004e-09,0.0,7.98699375519e-09
27,0.0001,0.0,2.79586240162e-05
28,4.25178630338e-06,0.0,3.07493565164e-06
29,1.58489319246e-09,0.0,1.80309205128e-09
30,3.49025487896e-06,2.1839568747e-71,2.94348168393e-06
31,3.05994968721e-08,0.0,3.27057819393e-08
32,1.93069772888e-09,0.0,2.20296003971e-09
33,0.0001,0.0,2.45064601113e-05
34,2.20220194999e-07,0.0,1.97791296105e-07
35,0.0001,0.0,4.81017709948e-05
36,4.25178630338e-09,0.0,5.09158438596e-09
37,2.86512026966e-09,0.0,2.96358186157e-09
38,5.53168119762e-08,0.0,5.09711744641e-08
39,5.90783791159e-07,0.0,5.18965343785e-07
40,5.90783791159e-07,0.0,5.52993893832e-07
41,1.48398178897e-07,0.0,1.20069675661e-07
42,1.38949549437e-08,0.0,1.4951430241e-08
43,3.49025487896e-09,0.0,3.60577193544e-09
44,1.14062492385e-08,0.0,1.16691297215e-08
45,3.72759372031e-08,0.0,3.65139301001e-08
46,6.73862716803e-05,0.0,1.64037868616e-05
47,2.35195263507e-06,0.0,1.75934824121e-06
48,1.69266661504e-08,0.0,1.66460709018e-08
49,3.49025487896e-09,0.0,3.59967548897e-09
50,2.0619860095e-08,0.0,2.00540758897e-08
51,1.06800043251e-09,0.0,1.12221527497e-09
52,6.3095734448e-09,0.0,6.59361334434e-09
53,3.72759372031e-08,1.12276320622e-42,3.90889235126e-08
54,3.98107170553e-07,0.0,3.8218995079e-07
55,1.14062492385e-05,0.0,6.38346390316e-06
56,0.0001,0.0,6.01334951083e-05
57,6.3095734448e-09,0.0,6.631529641e-09
58,6.3095734448e-06,0.0,4.44326719408e-06
59,5.90783791159e-10,0.0,6.27588874231e-10
60,3.26802758941e-10,3.92827353312e-135,3.35517112408e-10
61,1.30102521691e-06,0.0,1.24033345877e-06
62,5.17947467923e-09,0.0,5.66849672966e-09
63,3.98107170553e-07,0.0,3.71636343472e-07
64,1.58489319246e-06,0.0,1.41947962245e-06
65,2.35195263507e-09,0.0,2.5514804522e-09
66,2.0619860095e-08,0.0,2.1073893807e-08
67,8.76712387297e-07,0.0,7.91141585634e-07
68,1.69266661504e-08,0.0,1.73497924888e-08
69,1e-10,0.0,1.04068693431e-10
70,3.49025487896e-09,0.0,3.71605606348e-09
71,3.26802758941e-10,0.0,3.76192598385e-10
72,5.53168119762e-08,0.0,5.41310063754e-08
73,2.0619860095e-05,3.34350721015e-73,1.07961258318e-05
74,2.35195263507e-06,0.0,1.80676602817e-06
75,1.69266661504e-08,0.0,1.75896900446e-08
76,6.73862716803e-08,0.0,6.09347475512e-08
77,2.20220194999e-07,0.0,1.75364736126e-07
78,0.0001,0.0,2.60854538516e-05
79,2.86512026966e-06,0.0,2.15472620026e-06
80,8.20891415964e-08,0.0,7.8124946792e-08
81,8.20891415964e-05,0.0,1.74636364499e-05
82,4.54090961097e-08,0.0,4.43001488195e-08
83,1.58489319246e-06,0.0,1.3669793518e-06
84,0.0001,8.53971618435e-83,6.51282395559e-05
85,1.48398178897e-07,0.0,1.21898225042e-07
86,1.06800043251e-06,0.0,9.33383007199e-07
87,1.38949549437e-05,0.0,7.42512056046e-06
88,1.21818791201e-10,0.0,1.29369048818e-10
89,1.69266661504e-05,0.0,8.11143625413e-06
90,0.0001,0.0,2.23112966889e-05
91,1.93069772888e-06,0.0,1.62311293718e-06
92,0.0001,0.0,5.09307333295e-05
93,3.49025487896e-09,0.0,3.97549458811e-09
94,5.90783791159e-07,0.0,5.54489726468e-07
95,3.98107170553e-10,0.0,4.13246788725e-10
96,1.30102521691e-09,0.0,1.39770187811e-09
97,0.0001,0.0,7.07370246323e-05
98,1e-07,0.0,8.55355335521e-08
99,5.90783791159e-07,0.0,5.9956001896e-07
100,0.0001,0.0,6.26545566083e-05
101,0.0001,0.0,9.29229157339e-05
102,4.84969342853e-10,0.0,5.13068598716e-10
103,1e-07,0.0,8.18791948128e-08
104,0.0001,0.0,4.53851498897e-05
105,0.0001,0.0,9.19714773023e-05
106,4.25178630338e-09,0.0,4.46959227688e-09
107,0.0001,0.0,4.23056993847e-05
108,2.35195263507e-06,0.0,1.91131831199e-06
109,0.0001,0.0,5.78619012493e-05
110,3.72759372031e-08,0.0,3.5537563582e-08
111,5.90783791159e-07,0.0,5.06585383246e-07
112,0.0001,0.0,4.06777360174e-05
113,3.49025487896e-09,0.0,3.76729420021e-09
114,2.68269579528e-07,4.01995825119e-144,2.28113278555e-07
115,5.53168119762e-08,0.0,4.8225017089e-08
116,3.26802758941e-07,0.0,3.17873410109e-07
117,1e-10,0.0,1.11918815391e-10
118,1.21818791201e-10,0.0,1.38336790142e-10
119,2.86512026966e-06,8.65488357253e-108,2.19656684001e-06
120,4.54090961097e-08,0.0,4.6857250751e-08
121,9.36329208824e-06,0.0,5.68099758207e-06
122,1.21818791201e-07,0.0,1.13399922306e-07
123,1e-10,0.0,1.07620761205e-10
124,2.68269579528e-07,0.0,2.19207637014e-07
125,1.14062492385e-05,9.49894414652e-48,6.5651832167e-06
126,2.68269579528e-10,0.0,2.69665002912e-10
127,2.20220194999e-07,0.0,1.81284581793e-07
128,8.20891415964e-08,0.0,7.2847003318e-08
129,3.49025487896e-09,0.0,4.03512989093e-09
130,0.0001,0.0,3.54192211672e-05
131,0.0001,0.0,5.95960037888e-05
132,6.3095734448e-06,0.0,4.36490499523e-06
133,1.30102521691e-06,0.0,1.18166262217e-06
134,1.48398178897e-10,0.0,1.65299608892e-10
135,7.19685673001e-10,0.0,8.54696759167e-10
136,1.80776867696e-10,0.0,1.95341345051e-10
137,1.80776867696e-10,0.0,1.90023413292e-10
138,6.73862716803e-08,0.0,5.93291456766e-08
139,2.35195263507e-06,0.0,1.87528199705e-06
140,4.25178630338e-09,0.0,4.42620316081e-09
141,1.06800043251e-06,0.0,9.29554183461e-07
142,4.84969342853e-10,0.0,5.81966933907e-10
143,2.51188643151e-08,0.0,2.41083616469e-08
144,1.48398178897e-10,3.18237591089e-69,1.50475704674e-10
145,1.14062492385e-08,0.0,1.17357356141e-08
146,1.69266661504e-05,0.0,8.01589386328e-06
147,3.49025487896e-06,0.0,2.57053473112e-06
148,1.58489319246e-06,3.36634828134e-79,1.32017726467e-06
149,1.30102521691e-09,0.0,1.61481048082e-09
150,3.98107170553e-07,0.0,3.35987576941e-07
151,3.26802758941e-10,0.0,3.97969043934e-10
152,4.25178630338e-06,0.0,3.14041960397e-06
153,0.0001,0.0,8.90670628419e-05
154,1.80776867696e-10,0.0,2.027899535e-10
155,1.14062492385e-08,0.0,1.25038093849e-08
156,0.0001,0.0,2.58897715902e-05
157,5.17947467923e-09,0.0,5.26538896177e-09
158,0.0001,1.68482558381e-135,7.18637617727e-05
159,1e-07,0.0,8.99123760656e-08
160,5.17947467923e-09,0.0,6.04440711e-09
161,1.30102521691e-06,0.0,1.19748561336e-06
162,1.93069772888e-09,0.0,2.11666913677e-09
163,2.86512026966e-09,0.0,3.0462121202e-09
164,0.0001,2.27117785404e-92,1.81104751193e-05
165,1.21818791201e-07,0.0,1.05586952202e-07
166,4.25178630338e-06,0.0,3.29305254196e-06
167,4.25178630338e-06,0.0,3.08996712839e-06
168,1.58489319246e-06,0.0,1.35569819561e-06
169,1.69266661504e-08,0.0,1.68827543054e-08
170,4.25178630338e-06,0.0,3.01022014461e-06
171,0.0001,0.0,2.37763857918e-05
172,3.26802758941e-07,0.0,2.79650019606e-07
173,0.0001,0.0,3.04104418314e-05
174,2.0619860095e-08,0.0,2.05292117172e-08
175,1.21818791201e-10,0.0,1.37216831123e-10
176,1.80776867696e-07,0.0,1.55263781956e-07
177,1.93069772888e-06,4.03511866956e-12,1.54700649933e-06
178,1.58489319246e-06,0.0,1.4346804793e-06
179,0.0001,0.0,5.22295909457e-05
